,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
90,2371,2021-01-06,2021-02-05,26.2,25.55,381997,Low prediction,-248298.04999999946,-2.4809160305343414,57449.96131875,970588759.3418725
91,2371,2021-01-12,2021-02-05,24.2,25.55,403171,Low prediction,544280.8500000006,5.578512396694224,59485.361231250004,971073554.8306412
92,2371,2021-01-22,2021-02-05,26.15,25.55,380184,Low prediction,-228110.39999999918,-2.294455066921597,57150.20934,970788294.2213012
93,1101,2021-01-05,2021-02-17,43.25,41.0,230884,Low prediction,-519489.0,-5.202312138728327,56117.799225,970212687.4220762
94,2308,2021-01-05,2021-02-17,270.0,281.0,36984,Low prediction,406824.0,4.074074074074074,60216.42420000001,970559294.9978762
95,2308,2021-01-05,2021-02-17,270.0,281.0,36768,Low prediction,404448.0,4.074074074074074,59864.7384,970903878.2594762
96,2308,2021-01-12,2021-02-17,315.5,281.0,30923,Low prediction,-1066843.5,-10.935023771790808,52353.0255375,969784681.7339387
97,2308,2021-01-19,2021-02-17,291.5,281.0,30970,Low prediction,-325185.0,-3.6020583190394473,51373.423125,969408123.3108137
98,2308,2021-01-20,2021-02-17,295.5,281.0,31361,Low prediction,-454734.5,-4.906937394247035,52200.7765125,968901188.0343012
99,2308,2021-01-28,2021-02-17,282.0,281.0,25224,Low prediction,-25224.0,-0.35460992907800915,41500.416600000004,968834463.6177012
100,2308,2021-02-02,2021-02-17,288.0,281.0,34638,Low prediction,-242466.0,-2.430555555555558,57285.190350000004,968534712.4273511
101,2474,2021-01-05,2021-02-24,207.0,196.5,48240,Low prediction,-506520.0,-5.072463768115942,56174.877,967972017.5503511
102,3533,2021-01-05,2021-02-24,500.0,525.0,19971,Low prediction,499275.0,5.000000000000004,60624.466875,968410668.0834762
103,3533,2021-02-02,2021-02-24,525.0,525.0,19002,Low prediction,0.0,0.0,58359.8925,968352308.1909761
104,1590,2021-01-05,2021-02-25,920.0,1000.0,10854,Low prediction,868320.0,8.695652173913038,62258.544,969158369.6469761
